day,close
1,181
2,221
3,298
4,304
5,637
6,732
7,507
8,541
9,431
10,535
11,560
12,557
13,593
14,584
15,520
16,332
17,839
18,1101
19,1562
20,1559
21,2417
22,2512
23,2623
24,1983
25,803
26,1009
27,1159
28,1248
29,1621
30,1704
31,1076










