day,close
1,17110
2,20880
3,28130
4,28710
5,60030
6,69020
7,47850
8,51040
9,40600
10,50460
11,52780
12,52490
13,55970
14,55100
15,49010
16,31320
17,79170
18,103820
19,147320
20,147030
21,227940
22,236930
23,247370
24,187050
25,75690
26,95120
27,109330
28,117740
29,152830
30,160660
31,101500
