day,close
1,291
2,350
3,476
4,482
5,1011
6,1163
7,806
8,859
9,680
10,846
11,885
12,885
13,938
14,925
15,826
16,529
17,1328
18,2629
19,3733
20,3726
21,5774
22,5999
23,6263
24,4737
25,1268
26,2411
27,2768
28,2980
29,3871
30,4070
31,2570
